Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.501206142003569,0.533493340092548,0.955989392306853,0,0,0,0.376991118430775,0.0452483589896538,-4.37113987215494E-36,0,1.88495559215388E-05,7.2090268449749E-36,0.0452483589896538,0,0,0,0,0,0,package://rightsignboard/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rightsignboard/meshes/base_link.STL,,pole-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
board,0,0,0,0,0,0,2.51327412287184,0.0252165170328141,0,-9.8742983436636E-20,0.0252165170328141,-2.6432213225686E-20,0.0502654824574367,0,0,0,0,0,0,package://rightsignboard/meshes/board.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rightsignboard/meshes/board.STL,,board-1,Origin_board_pole,,board_pole,fixed,0.50392,-0.95557,1.3333,-1.5708,-1.047,3.1416,base_link,0,0,0,,,,,,,,,,,,
arrow,0,0.0358640080777433,0.000500000000000056,0,0,0,0.0172090665860726,6.76460178272663E-05,9.53471459751443E-21,1.0767775518146E-23,1.05786840133252E-05,-4.12050040410395E-23,7.82218336628272E-05,0,0,0,0,0,0,package://rightsignboard/meshes/arrow.STL,1,1,0,1,0,0,0,0,0,0,package://rightsignboard/meshes/arrow.STL,,arrow-2,Origin_arr_board,,arr_board,fixed,-0.026156,0.016188,0.0105,0,0,-2.0946,board,0,0,0,,,,,,,,,,,,
